"","x"
"400","I use this weekly with a cheap slow cooker/croc pot. It keeps temperature very well and the probe is easy to place."
"401","Have been using this for over a year now and it still works great. It was a little hard to figure out the programming but it does it's job."
"402","one for fermentation and one for your keezer. this thing rocks and this was the lowest price on the net."
"403","I bought this controller to convert my chest freezer to a keezer for my kegged home brewed beer. It was easy to understand the instructions and program for the ideal temperature I needed for an optimum pore! I plan to order another in the future to control my fermentation chamber ."
"404","best I've found for the money"
"405","HAVE ONLY HAD THE ITEM FOR A FEW WEEKS, BUT IT WORKS WELL AS DESCRIBED."
"406","Works.  Easy to setup if you're using for controlling cooling."
"407","Got this for my Keezer build. ""Plug and play"", just as I was hoping! Since installation temps have been consistent. Will be getting another for fermentation controll."
"408","I purchased this control to regulate the temperature in my old refrigerator that I wanted to cure meat in. So far, I have used it fora couple of weeks and it is doing the job! It is very easy to set up and it does keep the temperature where I have programmed it."
"409","Works great to keep my lager at stable temperatures.  I checked it regularly for the first three weeks of owning this product and have never seen it different than 54 degrees (I set it at 55 degrees).Excellent for use with a freezer chest for lagering and storing kegs. Definitely recommended.  I have not drilled a hole in my freezer chest yet, so I close the lid on the probe, which crimps the cord a little bit, but works just fine for my purposes."
"410","Easy to set up, controlled my heating system to within +/- 2 F."
"411","works great on my Keezer.  its keeping my beer at 30 degrees.."
"412","I bought this device to override the thermostat in a wine fridge that I use as a beer fermentation chamber.  The fridge has analog controls that are not precise.  This product was easy to set up using the included instructions, and has so far worked like a champ."
"413","Great price works as advertised."
"414","works great and easy to use. definitely worth the extra $20 or so to upgrade from the analog/dial version. This is much more accurate. The other version works good enough though, you just need a thermometer to double check everything."
"415","Great for my kegerator."
"416","Unit works great. Using it to ferment ale in an old refrigerator in a metal shed in the Arizona desert with outside temps of 105F. Unit is fully adjustable to fit all your brewing needs."
"417","Great device, Instructions for setting the dip switches would have been a plus.... Does what it is suppose to do....."
"418","This is a great product and it is still being used for other project's."
"419","Bought this to convert a chest freezer into a refrigerator it. So far it works great no problems and would definitely buy more from Johnson controls"
"420","I have been using the product for about a month. Works well so far. It is very critical tool for my lager brewing."
"421","This seems to be a professional grade temperature controller.  I had major issues with the cheap kegorator I got from Walmart, but this controller and a cheap 4 inch plastic electric fan has turned it into a dream beer machine!"
"422","This Johnson Controls Digital Thermostat is fantastic!!  I converted my small chest freezer to a refrigerator using this device.  Now I use the freezer/refrigerator to keep my home brewed beer at the perfect temperature.  Easy setup and forget about it.  Very easily adjust the temp if you want to."
"423","Turned an old refridgerator into a red wine storage cooler. Keeps temp at perfect long term storage temp of 55 degrees."
"424","works as stated and is a quality product.  directions could be better but with time you can figure it out"
"425","Excellent to keep temperatures accurate on kegerator."
"426","it's awesome-easy to use...a great product.  installed magnetic strips on the back and positioned the unit for better visibility."
"427","I have been using this Thermostat for aging beer in an old fridge - works perfectly.  Super steady and reliable (going on 3 years now since purchase)."
"428","Product works great"
"429","Easy set up and then forget. It takes the hassle out of temp control when homebrewing. Worth the investment for serious homebrewers."
"430","Works well, though I wish the instructions were a little easier to comprehend."
"431","I have two of them, great for aging beer."
"432","The unit was not what it should have been. I called Johnson Control and the service man said that I had a bad unit after I described how it came to me.  Jumpers to allow changiing the mode of operation were not included with the unit.  I will never purchase this type of product again from Amazon.  iF YOU DO BUY ONE TAKE IT APART TO MAKE SURE JUMPERS ARE INCLUDED WITH IT OTHER WISE ITS IS USELESS. SEND IT BACK IMMEDIATLEY OR YOU WILL BE LIKE ME HOLDING A PIECE OFJUNIK THAT CAN NOT BE RETURNED,.  Please disregard the above.  After I found a you tube video showing how to change the mode of operation, I realize that I did not understand what I saw in the instruction manual and described it incorrectly to the people at Johnson Control.  The unit works exactly as it it should and I would recommend it to any home vinter  or home brewer to control temperature in either hobby.  I would recommend any one using the controller to watch the you tube videos on how to operate it and how to change from the cooling mode it comes set at to the heating control mode."
"433","Works great, the functions are not very intuitive though, need to use manual to create settings. performs well and looks nice."
"434","Works perfect for a keezer build"
"435","Works prefect.  I was scared that my fridge might explote or get damage but not issues at all. It have several options to get just the right temp for my fermenters."
"436","Good product -I'm happy"
"437","Idiot proof, huge improvement over previous generations, where an electrical back ground was required to hookup the controller.Instructions were clear and easy to follow"
"438","Using it to help comvert an old freezer into a kegorator.  Instructions are a bit complicated, but figures/images quickly clarify.  Allows user to adjust cycle timing & precision range, which the analog (non-digital) versions dont offee.  Overall a nice controller for the money given what i have seen."
"439","I use this for home brewing. I had to change the jumpers over to fit may needs, which was very easy to do. I use this on a chest freezer turned keezer and will be purchasing another for a fermentation chamber."
"440","Works exactly as advertised.  I plan on purchasing two more of these devices.  Current purchase keeps a 7 cu. ft. freezer at 42 degrees."
"441","Working fine!"
"442","Works great easy to set up. For three months now I have been using it to ferment or store home brew."
"443","Yes great. Thank you."
"444","This product was described well, shipped quickly, and arrived is new condition - The product itself is really excellent and allows you to set a frezzer at any temperature - so you can use the freezer as a Frig @ very economical price - good seller!"
"445","great!!"
"446","Works great!!! Keeps chest freezer at perfect temps for fermenting beer.  Highly recommend it.  You can't go wrong ordering this controller."
"447","Using as a temperature control for my kegerator and it does a great job at keeping a consistent temperature even in a fridge from the 1950's!"
"448","The product worked fine, temps were accurate, but it quit working after 8 months.The digital screen indicated it was on and working but it was not passing voltage to my keezer. It was summer and my beer got warm!!!I would expect a little more durability from a trusted name like Johnson Controls."
"449","Works well, very easy to program and I like that it shows current temp."
"450","Works perfectly, very flexible in setting up, you do have to read the instructions to position the internal jumpers correctly."
"451","Works extremely well.  Easy to use.  Don't let the probe get wet.  Put is in a bag with a rubber band on it."
"452","I highly recomend this product, GREAT for home brewers that want to convert a refridgerator to a cold brewing chiller"
"453","Just what I need for a fermentation chamber to keep my home brewed beer at a constant temperature. This thing is great."
"454","terrific product, very precise at maintaining temperature in an old refrigerator."
"455","Allows me to use my upright freezer as a fridge. Great product."
"456","Works great for my hydrographics tank."
"457","This thermostat worked great for my keezer, very simple to program.  The only thing I would change would be to lower the price, but great product."
"458","Very good!"
"459","Item was sent in a timely manner. Quality of unit is just that ""Quality"". I especially like the fact it has dual functions. Heat and Cooling!"
"460","This works great controlling the temperature for brewing my beer."
"461","Easy to set up and use with clear instructions. This will help to make my home brews turn out consistently delicious each and every time."
"462","Solid unit, using it to keep my homebrew temperature controlled."
"463","The product works well enough for the price I guess. My big concern is that I have the differential set to 1 degree, yet the controller consistently takes my keezer down 7 degrees below my set-point. This concerns me when I'd like to ferment a lager at a consistent temp yet the chamber is varying by 7 degrees throughout the day. At least it works (kinda) and is easy to set-up."
"464","Building my fermentation chamber now. Can't wait to test this unit out."
"465","As a home brewer I need temp controls. I have one on my keezer for tapping and one on my fridge for fermentation temps. The name Johnson should say it all."
"466","Works like a charm."
"467","Perfect for controlling the Fememtation temp of your freezer, fridge or heater. Easy to use and rock solid. Wired is the way to go!"
"468","I use this controller to maintain proper temperatures during the lagering of beer I make.  Performs as required with very little maintenance adjustments.  Pretty much set and forget."
"469","It does exactly what it says it does"
"470","Showed up and worked as advertised. Plugged in my chest freezer and easily set up the temp I wanted (after placing the probe inside). I now have a steady temp for my home brew keezer!"
"471","I am using this thermostat to convert a chest freezer to a kegerator. The thermostat is very well built and easy to use. It takes only a few minutes to understand the basic programming. I had it up and running in minutes and has been working flawlessly."
"472","Very good product."
"473","I used this on a refrigerator that I wanted to maintain at a higher temperature to age cheese.  It couldn't have been easier.  Just plug the refrigerator into it.  Plug it into the wall and you are set. It has maintained the temp perfectly."
"474","The keg-o-rator that I purchased for my new kitchen 3 years ago was either freezing the beer in the keg or not keeping it cold. I decided to install this thermostat myself and now things are perfect."
"475","This controller works great.  A little confusing to set up but we figured it out."
"476","I did not get this for a kegerator, but for a bullet lube heater.  The Johnson unit can be changed from cool mode to heat mode simply by changing a jumper.  It took less than 60 seconds to convert it to heating mode.  The vendor had installed a line in pigtail and a line out pigtail, and sold it for less that I could find it for for just the control by itself.  This is an excellent deal all the way around.  I ordered this on the 31st of May, it shipped June 1 and I received it June 2.  This has to be some kind of record.  Great product, even better vendor.  If you need a line voltage temperature control, grab one, you won't find a better product, better vendor or better deal for the money anywhere else.  it did not come with a manual, but for a complete set of instructions go to Johnsons web site.[...]"
"477","Installed this device on a commercial 2 door freezer  to convert it to a refrigerator.  Easy to install and works great"
"478","Attached it to an upright freezer and it makes a great kegerator! This is the second of these units I have purchased to create a couple of kegerators"
"479","Used to larger home brew with a small dorm style refrigerator works  as advertized  easy to use. Can 't Waite to try my first larger."
"480","Using for a home brew keezer and works great!! Just started using a few weeks ago, but at this point, definitely recommend!"
"481","Easy to install works well and keeps the temperature where you set it."
"482","nice product"
"483","I bought this to try souse vide cooking at home.  With a crock pot or roaster as the water bath plugged into the control unit, it works great."
"484","I use the Johnson control thermostat  for controlling heating devices for my reptile cages they are accurate and dependable and very easy to use. I would recommend anyone  for the use of this product."
"485","Very good product"
"486","super easy to hook up, had to think about programming for just a minute, but easy once you think about it. Use it to control my beer fermenting fridge."
"487","Simple setup and has been working perfectly. Plugged it into my chest freezer to store kegs"
"488","This thing works great.  My only real concern with it is that fact that a lot of laypeople (myself included) use them for brewing and the instruction manual is aimed at end-users who are experienced with very dense technical instructions.I'm not saying that's a 'bad' thing, just something to think about.  Considering the prevalence of these devices in homebrewing/non-industrial scenarios, a quick user's guide would be awesome to include with it.  Also, if you're using this device as a HEATING controller rather than a COOLING controller (its default state), you will need to open the case and move some small jumpers around."
"489","Perfect for keeping things warm or cold. I use it for beer brewing both winter and summer. Might buy another to do some stepped fermentation."
"490","I use this thermostat to control temperature of my beer chest.  Set it and forget it."
"491","Great product!"
"492","Shipped with great care! Couldn't be happier with the unit. Ease of set up, functionality, and very user friendly highlight the unit."
"493","Well made- so far, accurate and easy to use and program once you figure out the abbreviations. Does what its suppose to without fuss."
"494","This unit has functioned exactly as stated.  It has allowed me to make a standard fridge into a very functional ""cheese cave"""
"495","this works great i put it on a frige to brew lager beer it keeps the temp within 1 deg. of the temp needed for lagering"
"496","Great item.  It worked perfectly on my 1950s Coke refrigerator which had been freezing my pop/beer. Now my drinks are ice cold."
"497","Extremely easy to install.  Drilled one hole in chest freezer and was good to go.  I have it set at 38 degrees as the max.  I kept an eye on it pretty close the first couple of days and it drops to about 36 degrees.  Highly recommend if building a kegerator."
"498","Great controller, one month using it perfectly."
"499","This works so much better than the analog version for only ten bucks more.  The directions are easy to figure out and the line in to the freezer is very flexible."
"500","This unit(kit) works great, just plug and done."
"501","If you are looking to make a Kagerator out of a freezer this is the product to do it"
"502","Works great. I use it in heating mode no problem. Maintains 85 degrees nicely."
"503","good work and delivery.. I love this"
"504","Does an excellent job and is a heavy duty product"
"505","I got this unit because the stat on my kegerator was all over the place Great job it works great it keeps my beer just the right temp and fast shipping"
"506","WORKS GREAT"
"507","Easy to set up. Works great so far."
"508","Now I can brew lagers and condition beer at the proper temperature. I'm very satisfied. Straightforward piece of equipment that I really need."
"509","Easy to use, works wonderful at keeping temperature within 1 degree.  Couldn't ask for a better product.  I will recommend this product to anybody looking to control refrigerator/freezer temperatures."
"510","It worked just as expected. My friend had one. That is how I found obout it."
"511","Easy to use and is working well in my keezer"
"512","I purchased this to control the temperature in a keezer I'm building. So far it is maintaining a temperature of 45 F in my converted freezer very well."
"513","Work good and easy to setup, little pricie but I guess you get what you pay for."
"514","Used it for a home made solar pool heater. Works great"
"515","After calibration, works as advertised."
"516","Turned a small fridge into a cheese cave. East to use and works great. Just plug it in, set the temp and you are good to go."
"517","Perfect for keeper or ferm chamber, accurate, easy to control. Fast shipping and easy setup, ability to do cooling or heating, great value"
"518","Put this on a used Kegerator that had a bad TC.  Controls very nice and it was very easy to set up!  Very pleased"
"519","i purchased my A419 from learn_to_brew and worked great up to 3 weeks ago. By using my meter it seems as though the switch that sends 120v to the output cord has failed. I then contacted Johnson Controls after following the simple troubleshooting steps, with some more failure validation tips, Customer Service informed me that i had to go through the vendor from Amazon.I e-mailed them (learn_2_brew) with no other re-course and they replied that the 90 return policy had expired. my question was about help with the warranty. they obviously don't stand behind the product that they sell. i must now find a local dealer/distributor to see if they will honor the 3 year warranty."
"520","I have had great success using this in conjunction with a large crock pot for a homemade sous vide water oven. It controlled the temperature of water in my crockpot very well and so each thing I cooked using the sous vide method turned out perfectly. By default the unit came to me with the jumper set to turn off when the temperature dipped to a certain level. Since I wanted it to turn off when the temperature rose to a certain level I had to adjust a jumper, but this was fairly easy. Dialing in the temperature cutoff and range was also easy.I'm also interested in using this for beer brewing, to precisely control the temperature of a freezer or refrigerator, and possibly for an aquaponics experiment (cleaning fish water with vegetables and feeding vegetables with fish water) in the future. This device was exactly what I was looking for and I would recommend it for a wide range of uses!"
"521","The product is good overall.  The settings take some time to understand.  The manual is written too technically specific and not for the normal non-electrician."
"522","so far so good, i bought it to control the temp on a chest freeze.  converted one into a keezer"
"523","Don't worry about it, it works.  it keeps my beer freezer 1 degree around where I would like it. w"
"524","Working very well and holds temp accurately"
"525","Works exactly as advertised and easy to program.  I currently use it to control the temerpature on a home made fermentation unit."
"526","Works as promised. Instructions could be more user friendly."
"527","Have many never a problem!"
"528","Works great!"
"529","works great use it for keeping 5.0 cubic freezer at 36 degrees for beer"
"530","Worked as advertised, shipping was fast."
"531","This was easy to set up and use.  I use it for controlling a small wine refrigerator for brewing beer."
"532","Does everything it was expected to"
"533","Great product"
"534","Great"
"535","Happy so far, I would recommend this device"
"536","I used this along with a Hydor Koralia Nano 240 Aquarium Circulation Pump and a NORPRO 559 Immersion Heater to convert an old cooler into my first sous vide cooker. Works great"
"537","It meet my expectation, thanks.  yyh"
"538","This is amazing gazette."
"539","All good"
"540","Great product.  Easy to use and set up."
"541","Excellent!"
"542","My keezer is now complete"
"543","Happy, shipment was Jimmy Johns fast"
"544","thanks"
"545","Unit worked great"
"546","So good"
"547","This thermostat is a great item!  I've been using it for months now to keep my mini fridge at the optimal temperature for homebrewing.  I've used it for making ales, as well as lagering and am very satisfied.  It is easy to program and use.  The temperature is very precise as well."
"548","I tried using this for a compact fridge for home brewing. The first time around, this product keep the fridge at just the right temperature. The second time around, it inexplicably entered into heating mode, and it does not respond to the proper jumper configurations outlined in the user manual. Now it just functions as a very expensive and otherwise useless thermometer. A very expensive single use."
"549","certainly it keeps the fridge temperature controlled, however the fridge will not necessarily starts once the controller provides the power, but that could be an issue with the fridge itself. The controller has done it's job"
"550","This thermostat control unit is being used in my new keezer and works great! The initial setup took a little reading, but I figured it out. It kicks on when temps get above 42 (where I have it set) and turns off the freezer when it's cold enough again. Perfect!"
"551","Works good but wish I would've bought an InkBird dual temp controller for 1/2 the cost."
"552","Using to regulate the temp of my kegerater.  Current refrigerator didnt have a digital thermostat - just a dial from cold to coldest.  This keeps the fridge/ kegerater exactly within the easy to program temp range.  It could not work better. Would also work great for an in-wall AC unit."
"553","I bought this to convert a chest freezer to a refrigerator. It works in this capacity to a degree. We end up with endless condensation buildup inside the chest, causing rust. It also cycles in a way that we get some freezing, so we lose veggies to damage. It was an experiment that's lasted just over a year. We saw our electric bill drop by $60 a month, but also saw our food losses increase substantially. It would work great in this application if you can drain condensation and aren't refrigerating fruits and vegetables in it."
"554","my probe melted against the side of a crock pot set on low."
"555","Bought this unit from the beverage factory to control the cooling system for an entertainment cabinet. It is small, easy to program and very versatile. Worked beautifully for 6 months. Now it runs the cooling system constantly, full on all the time. I have pulled the jumpers to reset it and it will function properly for about an hour, after an hour it will turn on and never turn off. There are no error codes and the only indication there is a problem is that the LED indicator is not lit while it is running. When functioning properly the LED indicator is lit the whole time the unit is running. I had hoped that it would have lasted longer. Searching for an inexpensive alternative at this time."
"556","Awesome for my freezer fermenter."
"557","The instructions could be more clear for this product. I had to search for a how-to video on youtube in order to better understand how to set this up. Also, I am having trouble with the refrigerator heating up to the set point. It is in a cold room, about 15 F below the set point but has not come within 10 F of the specified set point and cutout."
"558","Took a bit of figuring to set it up the way I wanted it to work, but it is great and works perfect"
"559","works like its supposed to"
"560","Easy to turn this into a heating controller for your crockpot or rice cooker.  Controls water bath temp to 1 deg.  Perfectly cooked meat every time.  Save $25 off the price over at dorkfood dot com."
"561","Perfect for our kegerator! Worth the money! Followed the directions, installed, and have not touched sense! ~Never had any issues. VERY ACCURATE!"
"562","It seems to work great just be advised if you use it for reptiles you may have to change it from cool to heat by switching pins inside unit."
"563","good"
"564","I use it for cold.I use it for hot.I use it a lot.I like it!I love it!I'm glad that I boughtum...it.  :-s"
"565","Works great-a little hard to set-up w/ the instructions but figured it out. Once dialed in it works perfect! I used this on an old fridge w/ a bad stat."
"566","Thanks goes out to the other reviewer who commented on using this for sous vide.  I just wanted to add my delight with this.  I had been doing what I was calling ""poor man's sous vide"" with my crock pot set to warm (would keep water bath around 145 degrees) and decided it was time to get more control.  This thing works great.  For those that are comparing to the other sous vide temperature controller that some reviewers said was loud when switching - I think this unit's switching click is pretty reasonable.  Yes you have to read a pretty involved manual to get this into heat mode, but it's really just a matter of unscrewing the controller and finding the pin they show in the instructions and just putting it into a different place with your fingers.  Easy and straight forward once you read.I'm off to buy another one as a gift for a friend with a non-digital crock pot like mine that wants to try sous vide cooking."
"567","Ordered it on 6/27/12 and had it in-hand on 6/30/12. Talk about fast order processing and shipping!! Nice! I was a little concerned about user friendliness of this model based on some online reviews/complaints. Bottom line is if you can read, aren't an idiot, and can in read above a 6th grade level you'll be fine with the instructions this unit comes with. Once I read the manual and made a few adjustments, this thing is doing exactly what I want it to do. I'm a home brewer who converted a 7cf chest freezer to a kegerator. I was able to set it to 37 degrees fahrenheit (df) with a 2 df differential and a 3 minute start delay in a matter of a few minutes (literally). I double checked its temp accuracy with a Thermoworks 2k thermocouple and this control unit was within 1 df of my thermocouple, so I know it's accurate. I would highly recommend this product."
"568","Temperature controller arrived as advertised and works great!! This is a definite game changer for my fermentation vessel. I couldn't be happier!"
"569","Its easy to use...the manual makes it seem overly complicated.SP: setpoint (for my purpose 67) the temperature you want the thing to try and maintain.dIF: differential (1 to 30F, default = 5) I leave at default, this is the point + or -  from the setpoint temp (so 62 to 73 in my case.ASd: anti-short cycle delay (0 to 12 minutes, default = 1)I set to 12 minutes, just to put the least amount of stress on the compressor.I recommend it!"
"570","I just purchased this unit and installed it in my Keezer and it is not working properly.  Sometimes it keeps the temperature and then it goes way beyond the set limits. I contacted Johnson controls and they gave some crappy answer that I need to contact the manufacture of the freezer!! What has that do with the controller? Not happy but need this unit for the Super Bowl. I will never buy their product again"
"571","It's not keep temperature that I set. I put this one into chest freezer to keep 34 degree, but fluctuating to 27-37. Really frustrating."
"572","THE JOHNSON A-419 IS THE PERFECT TOOL TO TURN YOUR FRIG INTO A REGULATED BEER FERMENTER IF YOU LIVE IN AREAS OF HOT WEATHER. IT'S INSTRUCTIONS ARE A LITTLE OVER THE HEAD OF MOST HOME OWNERS AND HOP JUNKIES) BUT ONCE YOU WORK THROUGH THE DETAILS IT WORKES PERFECTLY."
"573","very good product"
"574","works great. I like it"
"575","Lasted a very short period of time."
"576","Works sometimes."
"577","Great product dose what it supposed to."
"578","Works great."
"579","sweet."
"580","Good"
"581","The unit worked great for about a year. I went to check the temp and the display was off and the unit somehow fried. I have tried everything and it is gone. This is BS considering this controller was like 75 bucks."
"582","in at least 20 words, this item was exactly as represented.  it arrived quickly, undamaged, and wrapped very well.  i trust it work, i haven't hooked it up yet."
"583","Did nothing to solve my problem with my kegerator."
"584","This product lasted about 20 days. Worked fine, hooked to the kegerator. Then came home and it was completely dead. No display, nothing. Ruined a full keg of nice oatmeal stout."
"585","If you check most homebrewing sites, this is the temperature controller that you'll see recommended.  Well, I am going to recommend against it based on my experiences.I ordered mine less than a year ago and the temperature probe no longer works.  I discovered this by opening up my chest freezer, which I had set to stay at about 40 degrees.  It had dropped below freezing, freezing most of the beer in my kegs and bursting most of the bottles I'd been storing in the freezer turned kegerator.This is not the only reason I am giving this one star.  I understand that mechanical problems happen.  I contacted the seller, ""learn_to_brew"" for any advice or help on this.  The responses were not helpful and I was told to contact the manufacturer, Johnson Temperature controls.  I looked them up and attempted to contact them, and their website gives me an error.  I've tried multiple times on two different browsers and I can't even contact them about this defective product.And looking at the other reviews, I am not the only one to have this sort of problem with the unit breaking.So, here's the rundown:- product seems prone to break, which is not good if you are using it in a homebrew or keg storing context.- seller is not helpful when it breaks.- and it is not possible to contact the manufacturer.Sounds like 1 star to me.  Avoid."
"586","I use the Johnson Controls A419 Thermostat to control the heat in my snake (ball python) cages.  The instructions are a bit confusing. *Tip* In order to switch the device to heat and to have the heat source turn off once the high is met you have to move both jumpers.  Other than the instructions being confusing the device runs perfectly.  It keeps my snakes in the right heat range without fail.  I would recommend this device to any reptile owner.  Additionally, I have been using them for about a year and they are holding up very well, and they clean easily.  Great thermostat I love the fact that if one should fail in the future I only need to buy one, vs. a more expensive ""herp"" thermostat that controls several heat elements leaving several animals in danger."
"587","Good temp controller for brewing beer. Holds the temp with a few degrees of the set temp. Have been testing it in a deep freeze at various temperatures. So far so good. Looking forward to using it to brew some beer that requires colder temperatures for fermentation."
"588","Bought two of these units to control heaters in my two greenhouses.  Previously I'd been using prewired dial thermostats that had about 20 degree error between operating point and dial indicator.  Time to step up to the Johnson Controls unit.  The digital readout lets me confirm temp settings with another source and the replaceable sensor means I should be able to keep using these units for a long time.  I found the directions easy to understand, but then again I'm an electrical engineer. I'll probably pick up a couple more to handle ventilation as well."
"589","I own the turn style type of johnson control as well as this one.  While I do like the turn kind and it works well, I like this controller so much better.  I use this for my fermentation chamber when brewing beer and I love the fact that I can set the differential (which I cant on the other controller).  A must have for brewing, lagering, or kegging!"
"590","The use is simple with great instructions. You can control heat or refrigeration with this unit! The quality is fair...not waterproof or anything so treat it with care & protect it from moisture. This product works great with the stopper thermowell. B0064O937C"
"591","I have been looking at sous vide water ovens for years now, but could just not bring myself to spend $500 or more on one. Then I discovered the Johnson Controls Control unit. I paired this unit with the Maxi-Matic MST-800V Elite Gourmet Large 8-1/2-Quart Slow Cooker, a Danesco Roasting Rack - Oval - 6x9 Inch - Non-stick (which fits perfectly in the bottom of the slow cooker, and a Weber 6479 Grill Press (cast iron, but covered in enamel so it won't rust). The grill press is heavy enough to hold the vacuum sealed bag with meat in it down again against the roasting rack. I use a plastic twist tie to attach the temperature probe to the handle of the grill press for accurtate water temp measurement.  The temp. contoller is very easy to change from cooling to heating and directions are easy to understand in the following youtube video: [...]I also purchased the Stainless Steel Toast Rack: B000LWVJHAand the IRIS Stainless Steel Cutting Board Organizer / Napkin HolderThe toast holder or Cutting Board Organizer / Napkin Holder can be wired to the handle of the grill press sitting on the bottom  of the crock pot and used to hold smaller individually sealed pieces of meat or steaks to keep them submerged in the bath and separated.So for a total of $177.18, I got myself, what I think, is a very nice sous vide set up that can be adapted to a variety of sizes and pieces of meat or seafood.Addendum: 7/18/2013Used the sous vide for the first time this weekend and it's performance was stellar. I cooked a plain, old, run of the mill, chuck roast with nothing but salt and pepper on it. I cooked it at 142 degrees for 2 1/2 days. However, next time I need to reduce the temp some. When I took it out it was medium well and I prefer medium rare. It was just pink, but no red juices. I must say though, even though it was done more than I prefer, it was the best roast beef I have ever had, anywhere, anytime. You literally could eat this without teeth it was so tender. I cut mine in pieces and dipped it in steak sauce. It really rivaled a filet mignon. If you have the time and can plan ahead, this is the only way to cook meat. I am going to do a pork loin in the sous vide for pulled pork for a pot luck I have coming up next month."
"592","I got the unwired thermostat cause it was a little cheaper, it was pretty easy to wire for my engineer friend.  The thing does what it's supposed to.  I use it with a cheapo heating pad to keep my carboy warm in my basement.  This summer I'll use it for lagering with a fridge.  If you're a serious homebrewer, you need this."
"593","This thing works great. Lagering beer, controlling my mash, either way. Great little device."
"594","Very accurate and ergonomic display. Extremely durable and built to last!"
"595","Bought this as a gift for our son-in-law's home beer making kit.  Works great!"
"596","Hunk of junk."
"597","Works like a charm. Read the instruction manual as there are many settings. Other than a simple tweak its very easy to use."
"598","Been using it for sous-vide cooking and it works like a champ! Highly recommend!"
"599","I bought this product to convert an old chest freezer to a refrigerator that I use to hold five gallon corny kegs containing homebrewed beer.  The unit is truly plug and play and easy to adjust.  Although a little pricier than competing non-digital units in my view it is worth the money to have more precise temperature adjustability."
"600","Works pretty well. No problems yet. Using it to monitor the temp on the freezer out in the garage to brew beer."
"601","This device is a Great helpful controller for freezers. The set up and use is easy and fast.I have used in my freezer for carbonate and I haven't any problem."
"602","Keeps the unit at a beautiful 38C.  It might be causing a slight whine in the compressor?  Unlikely, but I do notice a new whine."
"603","This unit is plug and play, it couldn't get any easier than this one is. Excellent control and features. Highly recommended."
"604","Hooked it up and works wonderfully!"
"605","Worked out great made a small walk in cooler for hanging deer. Bypasted the thermostat plunged unit into plug gets down to 40°"
"606","We ordered this in to regulate our fermentation temps, which is exactly what this bad boy is for.  You can't home brew without this. Brews come out better!!!"
"607","installed on chest freezer to keep homemade beer in set unit installed probe in freezer keeps beer right on temperature cheaper oninitial cost an to run than small frig"
"608","awesome !!"
"609","fast shipping and working good."
"610","I had an old refrigerator that I wanted to store wine in. I put the sensor from this unit into a container of water inside the fridge and it keeps the wine at the perfect temperature."
"611","This was given to me as a Christmas gift without the invoice . When it came time to install it it was noted this is an analog unit and not the one depicted in the photo. Strange Brew was called. Without the invoice number they claim they cant look the sale up. Looking up by name won't work.I was told if I found the invoice to call back. Appears she paid digital price for an analog unit. It is difficult to believe in this age of computers you cant look up a sale by name."
